# upstream_item	status	why / where it would go
cuBLAS gemv in UpdateF and computeBatchDecisionFunction	REPLACED (closed library), DEVIATION 634	hand GEMV kernels with the fold pinned to ascending training index / ascending support index; MAX's gemv is not called because the fold order is the point
cub::DeviceReduce::Sum in CalcB	REPLACED, DEVIATION 632	serial_sum_f32_kernel (one thread, ascending, flushed)
cub::BlockReduce<KVPair> val-only comparison in SmoBlockSolve	REPLACED, DEVIATION 633	pinned_argreduce.mojo: ties to the smaller training index
workingset.h FIFO_strategy = false: PrioritySelect, SelectPrevWs, update_priority, ws_priority / ws_priority_sorted / ws_idx_sorted / ws_idx_selected	NOT PORTED	"only FIFO is tested so far" (workingset.h:36); nothing dispatches to it. Would go in workingset.mojo beside select_ws
sample_weight; smosolver.cuh InitPenalty weighted arm (C_vec = C * w)	NOT PORTED	raised by name; C_vec is filled with C. (class_weight in the python layer becomes sample_weight upstream and is refused with it)
svcFitSparse / svcPredictSparse; kernelcache.cuh sparse_extract, x_ws_csr, host_indptr, indptr_batched, getMatrixBatch CSR; sparse_util.cuh; results.cuh sparse support matrix	NOT PORTED	dense row-major only
multiclass (ovr in the python layer); raft::label::getUniquelabels device sort	NOT PORTED / HOST	their ASSERT(n_classes == 2) kept as a raise; unique labels found by a host sort (tiny)
probability (python layer, Platt scaling)	NOT PORTED	not in the C++ surface at all
svmFreeBuffers	NOT NEEDED	host lists
raft::cache debug printing; print_device_vector debug blocks	NOT PORTED	debug logging only
